date,price
27-Oct-11,-0.115
28-Oct-11,0.005
31-Oct-11,0.015
1-Nov-11,0.185
2-Nov-11,0.025
3-Nov-11,-0.07
4-Nov-11,0.105
7-Nov-11,0.09
8-Nov-11,-0.03
9-Nov-11,0.135
10-Nov-11,-0.02
11-Nov-11,-0.07
14-Nov-11,0.035
15-Nov-11,0.08
16-Nov-11,-0.02
17-Nov-11,-0.02
18-Nov-11,-0.012
21-Nov-11,0.06
22-Nov-11,0.03
23-Nov-11,0.118
24-Nov-11,0.035
25-Nov-11,0.04
28-Nov-11,-0.085
29-Nov-11,-0.115
30-Nov-11,-0.175
1-Dec-11,-0.007
2-Dec-11,-0.017
5-Dec-11,0.014
6-Dec-11,0.005
7-Dec-11,0.05
8-Dec-11,0.05
9-Dec-11,-0.002
12-Dec-11,0.034
13-Dec-11,0.04
14-Dec-11,0.06
15-Dec-11,-0.05
16-Dec-11,-0.06
19-Dec-11,-0.005
20-Dec-11,-0.12
21-Dec-11,-0.03
22-Dec-11,-0.045
23-Dec-11,-0.045
26-Dec-11,-0.055
27-Dec-11,-0.04
28-Dec-11,0.02
29-Dec-11,-0.022
30-Dec-11,-0.032
2-Jan-12,0.035
3-Jan-12,-0.05
4-Jan-12,0.02
5-Jan-12,0.03
6-Jan-12,-0.09
9-Jan-12,-0.08
10-Jan-12,-0.21
11-Jan-12,-0.17
12-Jan-12,-0.165
13-Jan-12,-0.08
16-Jan-12,-0.125
17-Jan-12,-0.09
18-Jan-12,-0.1
19-Jan-12,-0.1
20-Jan-12,-0.06
23-Jan-12,-0.09
24-Jan-12,-0.09
25-Jan-12,-0.11
26-Jan-12,-0.21
27-Jan-12,-0.27
30-Jan-12,0.02
31-Jan-12,0.06
1-Feb-12,-0.1
2-Feb-12,-0.02
3-Feb-12,-0.07
6-Feb-12,0.015
7-Feb-12,0.02
8-Feb-12,-0.03
9-Feb-12,0.02
10-Feb-12,0.06
13-Feb-12,-0.015
14-Feb-12,0.02
15-Feb-12,0.03
16-Feb-12,-0.015
17-Feb-12,0.03
20-Feb-12,-0.03
21-Feb-12,0.027
22-Feb-12,0.035
23-Feb-12,0.025
24-Feb-12,-0.015
27-Feb-12,-0.02
28-Feb-12,-0.004
29-Feb-12,0.02
1-Mar-12,-0.035
2-Mar-12,0.013
5-Mar-12,-0.005
6-Mar-12,0.075
7-Mar-12,-0.008
8-Mar-12,-0.055
9-Mar-12,-0.09
12-Mar-12,-0.04
13-Mar-12,-0.053
14-Mar-12,0.06
15-Mar-12,-0.005
16-Mar-12,-0.035
