date,price
23-Apr-13,29.821
24-Apr-13,29.782
25-Apr-13,29.685
26-Apr-13,29.655
29-Apr-13,29.517
30-Apr-13,29.535
2-May-13,29.553
3-May-13,29.533
6-May-13,29.548
7-May-13,29.515
8-May-13,29.395
9-May-13,29.41
10-May-13,29.623
13-May-13,29.819
14-May-13,29.808
15-May-13,29.873
16-May-13,29.945
17-May-13,29.953
20-May-13,29.929
21-May-13,29.832
22-May-13,29.809
23-May-13,29.908
24-May-13,29.91
27-May-13,29.865
28-May-13,29.923
29-May-13,29.966
30-May-13,29.974
31-May-13,29.918
3-Jun-13,29.953
4-Jun-13,29.901
5-Jun-13,29.785
6-Jun-13,29.796
7-Jun-13,29.742
10-Jun-13,29.866
11-Jun-13,29.933
13-Jun-13,29.889
14-Jun-13,29.86
17-Jun-13,29.872
18-Jun-13,29.89
19-Jun-13,29.841
20-Jun-13,30.008
21-Jun-13,30.137
24-Jun-13,30.183
25-Jun-13,30.115
26-Jun-13,30.097
27-Jun-13,30.017
28-Jun-13,29.997
1-Jul-13,29.998
2-Jul-13,30.003
3-Jul-13,30.06
4-Jul-13,30.029
5-Jul-13,30.039
8-Jul-13,30.14
9-Jul-13,30.11
10-Jul-13,30.04
11-Jul-13,29.938
12-Jul-13,29.899
15-Jul-13,29.924
16-Jul-13,29.87
17-Jul-13,29.891
18-Jul-13,29.971
19-Jul-13,29.959
22-Jul-13,29.92
23-Jul-13,29.912
24-Jul-13,29.927
25-Jul-13,29.928
26-Jul-13,29.917
29-Jul-13,29.931
30-Jul-13,29.956
31-Jul-13,30.035
1-Aug-13,30.047
2-Aug-13,30.036
5-Aug-13,29.942
6-Aug-13,29.959
7-Aug-13,29.978
8-Aug-13,29.943
9-Aug-13,29.94
12-Aug-13,29.952
13-Aug-13,29.963
14-Aug-13,29.969
15-Aug-13,29.962
16-Aug-13,29.96
19-Aug-13,29.976
20-Aug-13,30
22-Aug-13,30.03
23-Aug-13,29.995
26-Aug-13,29.99
27-Aug-13,30.02
28-Aug-13,29.994
29-Aug-13,29.982
30-Aug-13,29.933
2-Sep-13,29.822
3-Sep-13,29.865
4-Sep-13,29.828
5-Sep-13,29.876
6-Sep-13,29.842
9-Sep-13,29.765
10-Sep-13,29.714
11-Sep-13,29.745
12-Sep-13,29.727
13-Sep-13,29.773
16-Sep-13,29.691
17-Sep-13,29.684
18-Sep-13,29.711
23-Sep-13,29.582
24-Sep-13,29.588
25-Sep-13,29.58
26-Sep-13,29.622
27-Sep-13,29.586
30-Sep-13,29.63
1-Oct-13,29.56
2-Oct-13,29.553
3-Oct-13,29.436
4-Oct-13,29.428
7-Oct-13,29.48
8-Oct-13,29.496
9-Oct-13,29.44
11-Oct-13,29.448
14-Oct-13,29.443
15-Oct-13,29.408
16-Oct-13,29.435
17-Oct-13,29.411
18-Oct-13,29.417
21-Oct-13,29.419
22-Oct-13,29.424
23-Oct-13,29.406
24-Oct-13,29.423
25-Oct-13,29.403
28-Oct-13,29.43
29-Oct-13,29.44
30-Oct-13,29.43
31-Oct-13,29.424
1-Nov-13,29.435
4-Nov-13,29.456
5-Nov-13,29.431
6-Nov-13,29.445
7-Nov-13,29.431
8-Nov-13,29.462
11-Nov-13,29.568
12-Nov-13,29.595
13-Nov-13,29.624
14-Nov-13,29.588
15-Nov-13,29.591
18-Nov-13,29.547
19-Nov-13,29.488
20-Nov-13,29.539
21-Nov-13,29.59
22-Nov-13,29.609
25-Nov-13,29.631
26-Nov-13,29.623
27-Nov-13,29.639
28-Nov-13,29.643
29-Nov-13,29.634
2-Dec-13,29.592
3-Dec-13,29.646
4-Dec-13,29.635
5-Dec-13,29.645
6-Dec-13,29.623
9-Dec-13,29.605
10-Dec-13,29.6
11-Dec-13,29.609
12-Dec-13,29.628
13-Dec-13,29.649
16-Dec-13,29.668
17-Dec-13,29.675
18-Dec-13,29.713
19-Dec-13,29.833
20-Dec-13,29.949
23-Dec-13,29.98
24-Dec-13,30.004
25-Dec-13,29.996
26-Dec-13,30.031
27-Dec-13,29.979
30-Dec-13,29.965
31-Dec-13,29.851
2-Jan-14,29.946
3-Jan-14,29.961
6-Jan-14,30.101
7-Jan-14,30.063
8-Jan-14,30.17
9-Jan-14,30.167
10-Jan-14,30.129
13-Jan-14,30.063
14-Jan-14,30.1
15-Jan-14,30.11
16-Jan-14,30.141
17-Jan-14,30.156
20-Jan-14,30.181
21-Jan-14,30.221
22-Jan-14,30.234
23-Jan-14,30.307
24-Jan-14,30.311
27-Jan-14,30.415
28-Jan-14,30.393
29-Jan-14,30.329
5-Feb-14,30.37
6-Feb-14,30.312
7-Feb-14,30.303
10-Feb-14,30.347
11-Feb-14,30.361
12-Feb-14,30.327
13-Feb-14,30.363
14-Feb-14,30.316
17-Feb-14,30.265
18-Feb-14,30.294
19-Feb-14,30.299
20-Feb-14,30.317
21-Feb-14,30.351
24-Feb-14,30.379
25-Feb-14,30.372
26-Feb-14,30.312
27-Feb-14,30.326
3-Mar-14,30.332
4-Mar-14,30.334
